online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
No,No,4.3 /5,700,Indiranagar,"Bar, Casual Dining","Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",,Pubs and bars,Old Airport Road
No,No,4.3 /5,700,Indiranagar,"Bar, Casual Dining","Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",,Pubs and bars,Old Airport Road
Yes,No,,0,Malleshwaram,Confectionery,Desserts,200,Delivery,Rajajinagar
Yes,No,,0,Malleshwaram,Confectionery,Desserts,200,Delivery,Rajajinagar
No,No,,0,,,,,Delivery,Rajajinagar
No,No,,0,,,,,Delivery,Rajajinagar
No,No,,0,Rajajinagar,Dessert Parlor,Desserts,300,Desserts,Rajajinagar
No,No,,0,Rajajinagar,Dessert Parlor,Desserts,300,Desserts,Rajajinagar
No,No,,0,,,,,Dine-out,Rajajinagar
Yes,No,3.0 /5,89,Rajajinagar,Quick Bites,"Fast Food, Street Food",200,Dine-out,Rajajinagar
Yes,No,3.0 /5,89,Rajajinagar,Quick Bites,"Fast Food, Street Food",200,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,South Indian,300,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,South Indian,300,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,South Indian,150,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,"South Indian, Biryani",300,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,South Indian,150,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,South Indian,250,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,South Indian,250,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,South Indian,250,Dine-out,Rajajinagar
No,No,,0,Rajajinagar,Quick Bites,"South Indian, Biryani",300,Dine-out,Rajajinagar
No,No,,0,Basaveshwara Nagar,Quick Bites,Biryani,250,Dine-out,Rajajinagar
No,No,,0,Basaveshwara Nagar,Quick Bites,Biryani,250,Dine-out,Rajajinagar
No,No,,0,Basaveshwara Nagar,Quick Bites,Biryani,250,Dine-out,Rajajinagar
No,No,,0,,,,,Dine-out,Rajajinagar
No,No,,0,Magadi Road,Quick Bites,South Indian,250,Dine-out,Rajajinagar
No,No,,0,Magadi Road,Quick Bites,South Indian,250,Dine-out,Rajajinagar
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,Residency Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,Residency Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,Residency Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,Residency Road
No,No,,0,City Market,Quick Bites,South Indian,150,Dine-out,Residency Road
No,No,,0,City Market,Quick Bites,South Indian,150,Dine-out,Residency Road
No,Yes,4.4 /5,409,Brigade Road,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian","1,500",Drinks & nightlife,Residency Road
No,Yes,4.4 /5,409,Brigade Road,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian","1,500",Drinks & nightlife,Residency Road
Yes,No,3.5 /5,6,Bellandur,Beverage Shop,"Juices, Fast Food",200,Delivery,Sarjapur Road
Yes,No,3.5 /5,6,Bellandur,Beverage Shop,"Juices, Fast Food",200,Delivery,Sarjapur Road
No,No,,0,Bellandur,Quick Bites,North Indian,200,Delivery,Sarjapur Road
No,No,,0,Bellandur,Quick Bites,Biryani,400,Delivery,Sarjapur Road
No,No,,0,Bellandur,Quick Bites,Biryani,400,Delivery,Sarjapur Road
Yes,No,,0,Sarjapur Road,Delivery,North Indian,500,Delivery,Sarjapur Road
No,No,,0,Bellandur,Quick Bites,North Indian,200,Delivery,Sarjapur Road
Yes,No,,0,Sarjapur Road,Delivery,North Indian,500,Delivery,Sarjapur Road
No,No,,0,Bellandur,Quick Bites,North Indian,200,Dine-out,Sarjapur Road
No,No,,0,Bellandur,Quick Bites,North Indian,200,Dine-out,Sarjapur Road
No,No,NEW,0,Whitefield,Delivery,North Indian,500,Delivery,Whitefield
Yes,No,,0,Whitefield,Confectionery,Desserts,200,Delivery,Whitefield
Yes,No,,0,Whitefield,Confectionery,Desserts,200,Delivery,Whitefield
Yes,No,,0,Whitefield,Confectionery,Desserts,200,Delivery,Whitefield
Yes,No,,0,Whitefield,Quick Bites,"Andhra, North Indian, Biryani",250,Delivery,Whitefield
Yes,No,,0,Whitefield,Quick Bites,"Andhra, North Indian, Biryani",250,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",400,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",200,Delivery,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, South Indian, Chinese",400,Delivery,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",400,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",350,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",350,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",200,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, South Indian, Chinese",400,Delivery,Whitefield
No,No,NEW,0,Whitefield,Delivery,North Indian,500,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Delivery,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Delivery,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Delivery,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Delivery,Whitefield
Yes,No,NEW,0,Whitefield,"Takeaway, Delivery","Biryani, Mughlai",400,Delivery,Whitefield
Yes,No,NEW,0,Whitefield,"Takeaway, Delivery","Biryani, Mughlai",400,Delivery,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Desserts,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Desserts,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Desserts,Whitefield
No,No,,0,Whitefield,Bakery,"Bakery, Desserts",500,Desserts,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,Street Food,100,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,150,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out,Whitefield
Yes,No,,0,Whitefield,Quick Bites,"Andhra, North Indian, Biryani",250,Dine-out,Whitefield
Yes,No,,0,Whitefield,Quick Bites,"Andhra, North Indian, Biryani",250,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,200,Dine-out,Whitefield
No,No,3.2 /5,4,Whitefield,Quick Bites,Biryani,150,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, South Indian",500,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Dine-out,Whitefield
No,No,3.2 /5,4,Whitefield,Quick Bites,Biryani,150,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",350,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",350,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,150,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,150,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,South Indian,200,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,Street Food,100,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,North Indian,400,Dine-out,Whitefield
No,No,,0,Whitefield,Quick Bites,"North Indian, South Indian",500,Dine-out,Whitefield
No,No,,0,"ITPL Main Road, Whitefield",Quick Bites,North Indian,300,Dine-out,Whitefield
No,No,,0,"ITPL Main Road, Whitefield",Quick Bites,North Indian,300,Dine-out,Whitefield
